"filename", "language", "Properties", "HTML", "JSON", "JavaScript", "XML", "TypeScript", "JSON with Comments", "TypeScript JSX", "Markdown", "PostCSS", "comment", "blank", "total"
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\assets\fonts\icomoon.svg", "XML", 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 106
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\assets\react.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\custom.d.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 1, 16
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\hooks\useAbouthero.ts", "TypeScript", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 1, 8, 58
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\hooks\useApiData.ts", "TypeScript", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 60, 24, 133
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\hooks\useExplorePlantsHooks.ts", "TypeScript", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 16, 10, 91
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\hooks\useLabApi.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 3, 7, 92
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 8, 13, 70
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\types\about.ts", "TypeScript", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 4, 57
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\types\global.d.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 1, 10
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\types\types.ts", "TypeScript", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 7, 4, 53
"d:\TusukaReact\TusukaWebsiteCLientOfficial\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\TusukaReact\TusukaWebsiteCLientOfficial\tsconfig.app.json", "JSON", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 31, 5, 68
"d:\TusukaReact\TusukaWebsiteCLientOfficial\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
